"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Point 2","04b49aab-3dd9-40c6-9d4a-ca09680ecb6a","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:52:17Z,"wix:image://v1/06e28e_31a6e32931294942b2247de3b99d2d49~mv2.jpg/092-Point-2.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Rare""}","When point is played by either player... You gain 1 point.",,,
"Enchantment Chest","053e56ca-f090-4790-ae15-6077d6241c78","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_114c544f89304561a2f8e4d5e1330adb~mv2.jpg/2%2080%20-%20Enchantment%20Chest.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Attachment",,"{""II - Deep Space Discoveries"":""Common""}","The attached creature cannot be killed by creatures from the same planet as it.",,,
"Phycodurus","060e5884-ca9a-4893-9b2d-24f2f687a0a8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:46:53Z,"wix:image://v1/c3c13c_f87cd3889b9447e8bf66d3c740f510cf~mv2.jpg/3%20111%20-%20Phycodorus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",5,"Creature","Gaios","{""III - Galactic Divide"":""Limited Edition""}","When this creature attacks and kills another creature, you can free play 1 galaxied 'Phycodurus'.",,160,260
"Charge Blaster","062df1ae-e0e9-40ec-91e0-b7a16cbb6044","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_2ab541dffb4540bfbeb992a88f093051~mv2.jpg/1%2056%20-%20Charge%20Blaster.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Pay stars equal to the stars of one creature on either players' planet. Kill that creature.",,,
"Scythesect","063aef11-deed-4bbb-9a7b-cdc098083e9d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:47:13Z,"wix:image://v1/c3c13c_dd935e55811a428287de54d83dc4c7ba~mv2.jpg/1%2023%20-%20scythesect.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",4,"Creature","Gaios","{""I - The Origin of Chaos"":""Common""}",,,230,160
"Dark Burrow","06536657-b7d4-487b-81e2-36fb229a587d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_407229fc673c40a7bb6f617623130dd0~mv2.jpg/026-Dark-Burrow.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",,"Resource",,"{""Baro Planetary Collection"":""Common""}","Add 1 galaxied Burrabug creature to your hand, then kill 1 of your handed cards.",,,
"Indigo Scleech","06c92a93-0302-453f-84a5-ab26e8cdfe35","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_9f98177af4654a56bea98e10f6da01a0~mv2.jpg/4%2084%20-%20Indigo%20Scleech.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Common""}","When your opponent attaches an attachment card to 1 of your zoned creatures... Kill that attachment card.",,,
"Chaostrology","06cd803f-7e4c-485e-ad92-10a8d3efac8b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_3c6bc8ded2534358949e52d14509ed35~mv2.jpg/4%2082%20-%20Chaostrology.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Attachment",,"{""IV - Planets United"":""Rare""}","The attached creature gains 0 power &/or health.",,,
"Infiknight","06e41b83-b8f2-464d-8279-9c5887d6e87f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:45:29Z,"wix:image://v1/c3c13c_f6e020c9c1fe44f1a850aa375862ff76~mv2.jpg/2%2042%20-%20Infiknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",8,"Creature","No Planet","{""II - Deep Space Discoveries"":""Really Rare"",""Legends of the Cosmos"":""Rare""}","This creature gains 50 power and health for each of your killed creatures from different planets which have exactly 4 stars and no ability.",,200,200
"Guardian Mutant Space Worm","072e0c70-a46e-4944-a879-e9c72878be9c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_9289d9887b7b4dbea92a6d36aaa8373e~mv2.jpg/2%2084%20-%20GMSW.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Attachment",,"{""II - Deep Space Discoveries"":""Common""}","The attached creature cannot be killed by activator cards.",,,
"Sporegazer","076184c5-3ad4-4778-998f-5261e3ff63cf","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:58:54Z,"wix:image://v1/06e28e_3e277615eb83470da85f9baa91770b2c~mv2.jpg/041-Sporegazer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Gaios","{""V - Beyond Horizons"":""Common""}","Only once, you can attach this zoned creature to an opponent's creature. That creature becomes a Gaios creature and it’s power & health are halved.",,40,80
"2 Sticks - Stick 1","07dd9050-2eb8-4013-bc10-709f3f8db90f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_0be90bbc26514e0ab7de634c0b1dc9f3~mv2.jpg/4%2035%20-%202%20Sticks%20-%20Stick%201.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Combiner","Gaios","{""IV - Planets United"":""Common""}","When you play this combiner creature you can kill all zoned cards",,50,50
"The Daily Chaos","07eef1a6-1b9d-4fb7-84cd-11b1c48b70b2","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T08:00:36Z,"wix:image://v1/06e28e_9b15dca9a4284a669f857aa136f47a63~mv2.jpg/074-the-daily-chaos.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Permanent Resource",,"{""V - Beyond Horizons"":""Common""}","Once per turn, the turn player can choose to use 1 of the following abilities:
- gain 1 point.
- gain 2 stars.
- pay 4 stars to draw 1 card.",,,
"Smud - The Mud","08149d2f-7edf-4b30-ac02-ecb3f3401b87","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_d8499688964949479ca8786d673265cb~mv2.jpg/D3%2015%20-%20Smud%20the%20Mud.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",,"Combiner","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}",,,260,420
"Dark Space Eater","08f944b7-93a1-409a-9ae7-f378cdaaed1a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_22bbcf2bcd9d4974ac964430b5e8a8f6~mv2.jpg/3%2063%20-%20Dark%20Space%20Eater.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Common""}","Kill 1 card from your galaxy face down. If your opponent plays that card later during the game, kill it and any other galaxied or handed copies your opponent has. Then add your copy to your hand.","Banned - No copies of this card are allowed in your deck",,
"Universe Boundary","0922a885-11aa-471e-8c13-66cd1917066d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-12-27T07:55:47Z,"wix:image://v1/c3c13c_dffd45969b2c416186ca033631b6d0b4~mv2.jpg/2%2056%20-%20Universe%20Boundary.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Rare""}","Kill 1 creature from your galaxy.",,,
"Pointurret","09f1b8f1-275a-4765-a8c4-b3e21f1bd99b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2025-04-13T20:15:41Z,"wix:image://v1/c3c13c_be328319ec95467fbfe3d437b0d707d9~mv2.jpg/4%2091%20-%20Pointurret.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Rare""}","When an opponent's creature attacks your planet... Cancel the attack and you gain points equal to the points your opponent would have gained.","Banned - No copies of this card are allowed in your deck",,
"Skardian of the Sun","0aabc401-f527-4abb-8ad3-6ca35939b67c","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:58:03Z,"wix:image://v1/06e28e_a0522d150d32421ea5fa43b2ea1f39c6~mv2.jpg/048-Skardian-of-the-Sun.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",6,"Creature","Rokah","{""V - Beyond Horizons"":""Rare""}","You can only have 1 zoned Skardian. This zoned creature can’t be killed by activators. If Rokah is your planet, when your turn ends, you can shuffle this zoned creature into your galaxy to free play 1 galaxied Skardian.",,440,40
"Iiak - Tree of the Nightjungle","0c0cf21f-bb4d-4bd0-9f57-eaa23a10f923","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_cec1d6a59d3e485ca12ea1d2a77a50fd~mv2.jpg/D3%2017%20-%20Iaak%20Tree%20of%20the%20Nightjungle.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",,"Permanent Resource",,"{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","If this card is killed by the ability of a Nightjungle creature on your planet, your opponent loses 1 point for every creature on their planet.",,,
"Angel's Share","0c21444a-d1af-4b9c-b01c-82704d09c438","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-08T15:41:32Z,"wix:image://v1/c3c13c_f5eb0ac7598f409ba37d6213f6bd0cfc~mv2.jpg/2%2066%20-%20Angel's%20Share.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common""}","Your opponent loses 3 stars.",,,
"Bounce Glup","0c27c351-0d87-4d5d-ae80-16a1f081d702","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:43:17Z,"wix:image://v1/c3c13c_b3f6e34b6a3d4092afc6ad719519bd64~mv2.jpg/4%203%20-%20Bounce%20Glup.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",2,"Creature","Teklar","{""IV - Planets United"":""Common""}",,,80,130
"Zomatle","0c35076f-3e35-4e88-a321-cbcd4fab4d35","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:54Z,2022-11-02T07:55:40Z,"wix:image://v1/06e28e_407ad0110fc14826872035f6a2d7a19d~mv2.jpg/104-zomatle.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Sheos","{""V - Beyond Horizons"":""Limited Edition""}","You can pay 2 stars to play this handed card as a battle zone to your planet (if so, it is no longer treated as a card). Whilst a Sheos creature is in this zone, it gains 100 power. Your opponent can attack this zone as if it were a creature if you have no zoned creatures.",,20,160
"Zinzaa","0c82aed9-ffd0-404b-baaf-1be68256db15","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:49:14Z,"wix:image://v1/c3c13c_ce6acf566f044d64888d764833416a97~mv2.jpg/1%2028%20-%20Zinzaa.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",2,"Creature","Rokah","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}",,,150,60
"Stomposaurus","0e312b3a-9d23-4a6a-a7ec-48efdebeb345","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:59:58Z,"wix:image://v1/06e28e_3db2bad910f949de8041bd3ec3d42de8~mv2.jpg/054-Stomposaurus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",7,"Creature","Palicium","{""V - Beyond Horizons"":""Common""}",,,290,400
"The Ocean Kazzarak - Fin","0e4b64e9-a6a4-4ad3-9459-ced6cb8d7f31","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_9e066110922f47869a144603cfb5d747~mv2.jpg/003%20-%20Ocean%20Kazzarak%20-%20Fin.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar""]",,"Combiner","Teklar","{""Base Galaxy: Teklar"":""Common""}","After this zoned creature is killed by your opponent add 1 killed Kazzarak combiner to your hand and shuffle another into your galaxy, neither can be an Ocean Kazzarak combiner card.",,360,380
"Commander Crossbones","0e60f811-f4cd-4343-a25b-5c44bd269baa","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-12-27T04:32:00Z,"wix:image://v1/c3c13c_46837e3159274ad2b5af296b82d6ea47~mv2.jpg/3%2018%20-%20Crossbones.jpg#originWidth=738&originHeight=1040","/card-database-1/","[""III - Galactic Divide""]",5,"Creature","Sindell","{""III - Galactic Divide"":""Common""}","If a zoned or handed skullcross creature would be killed, attach it to this creature instead and this creature gains its power & health. You can kill this card with 400+ power & health to free play 1 galaxied/handed Commander Bossbones.",,150,150
"Cursid Bellows","0f0fb18f-93c1-4441-80c2-75d1b2819e65","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:49:28Z,"wix:image://v1/c3c13c_4b16ffe35ad540ffa3f1898bd8420e23~mv2.jpg/D2%2026%20Cursid%20bellows.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos"",""Legends of the Cosmos""]",,"Resource",,"{""Base Galaxy 2: The Infernos of Sheos"":""Rare"",""Legends of the Cosmos"":""Common""}","If your opponent has any Sheos creatures in their galaxy, they must choose 1 of those creatures and add it to the top of your galaxy. If they have none, they lose 1 point and 1 star.",,,
"Steam Rider","0f16b7ed-6c5a-4bc6-a368-32871eeae316","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:48:10Z,"wix:image://v1/c3c13c_207b9904f6c0472f9f2a23d2911a22f9~mv2.jpg/3%2028%20-%20Steam%20Rider.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature ","Palicium","{""III - Galactic Divide"":""Common""}","This creature can also be played as a combiner card with the creature boiling dragon to become the combiner creature: boiling dragon and steam rider- planet: sindell, power: 400, health: 300.",,100,250
"Statue Labyrinth","0fe7af5f-7da6-40cf-8aba-1e643391caa2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_120aa357558744e5b198704550acf4cc~mv2.jpg/4%2067%20-%20Statue%20Labyrinth.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Permanent Resource",,"{""IV - Planets United"":""Common""}","Neither player can return killed cards to their galaxies.",,,
"Ozobam","10e0ff6c-4ea5-44b5-beee-ceb0b2d44441","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:46:39Z,"wix:image://v1/c3c13c_0802aec24fb04269879dbfe8b7ff056e~mv2.jpg/3%2048%20-%20Ozobam.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Sindian","{""III - Galactic Divide"":""Common""}","When you cost play this creature, add 1 galaxied Ozokai to your hand. You can't cost play it this turn.",,100,100
"Tek Dragon","112d6e87-291e-46ae-ab94-4b9a430b34d9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:21Z,"wix:image://v1/c3c13c_f552b8a9106b4f8c9fd4f8c1909cc3c8~mv2.jpg/4%202%20-%20Tek%20Dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",6,"Creature","Teklar","{""IV - Planets United"":""Rare""}","Once per turn, you can reveal the top card of your galaxy, if it is a Teklar creature, this creature permanently gains 100 power.",,240,300
"Super Spicy Curry Man","1139dcef-7e9c-4ff5-a59c-17a937cccafb","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:48:16Z,"wix:image://v1/c3c13c_23b7c224fed44cf9ab706b422bafd76a~mv2.jpg/2+4+-+super+spicy+curry+man.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",2,"Creature","Sheos","{""II - Deep Space Discoveries"":""Common""}",,,170,40
"Notem of Vines","115eeabc-5697-4458-8f9a-111845db652c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:46:33Z,"wix:image://v1/c3c13c_edfe648b5d154a8baabcd3b417ae9396~mv2.jpg/D3%2012%20-%20Notem%20of%20Vines.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",4,"Creature","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","Whilst this creature is on your planet, you cannot play Baro creatures. Once per game, when this creature is killed by an attack, free play it to your opponent's planet.",,200,200
"Queen of the Burroworld","11ee0f4f-9500-4d73-bf16-ff1034383845","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:47:07Z,"wix:image://v1/c3c13c_a7fcbcaf8f1346be87eea0bfa597bb60~mv2.jpg/025-Queen-of-the-Burroworld.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",7,"Creature","Baro","{""Baro Planetary Collection"":""Really Rare""}","You can kill 1 handed Baro creature, this creature can make a second attack after killing a creature this turn.",,230,400
"Tonk","12feb7f6-1bbc-4808-9499-7127218e5387","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:48:26Z,"wix:image://v1/c3c13c_1d40674999ce4ca0af685c2f2585974e~mv2.jpg/012%20-%20Tonk.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar""]",4,"Creature","Teklar","{""Base Galaxy: Teklar"":""Common""}","After this creature is killed by an opponent's attack, you can place 1 galaxied, 4 star or lower Teklar creature on top of your galaxy.",,140,200
"Blattaclypse - The Light","13b2b3c9-a4ab-48d0-ab7d-45b443f5e201","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-07-30T04:22:33Z,2022-07-30T04:22:57Z,"wix:image://v1/c3c13c_1643144f4d7c4f9a9abd108925df044f~mv2.jpg/D2%2014%20Blattecipse%20Light.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos"",""Legends of the Cosmos""]",,"Combiner","Sheos","{""Base Galaxy 2: The Infernos of Sheos"":""Common"",""Legends of the Cosmos"":""Common""}",,,350,330
"Krikit","1407d1c1-0a6d-4c0c-a4fc-3d9a45846010","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:49:59Z,"wix:image://v1/06e28e_bb2009fb0888483cbe8626363f813778~mv2.jpg/033-Krikit.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",1,"Creature","Teklar","{""V - Beyond Horizons"":""Common""}","After this creature is killed by an attack, you can pay 1 star to place it as the 2nd from top card of your galaxy.",,50,30
"Phuppet Abomination","1513e970-27dc-462b-b6a0-c7bb6c900767","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:51:56Z,"wix:image://v1/06e28e_00514fe07c564e7e906dccc23553c05b~mv2.jpg/022-Phuppet-Abomination.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Sindell","{""V - Beyond Horizons"":""Common""}","If this creature is killed from your galaxy, you can free play it.
",,120,240
"Bazzazzafazz","1533e7ab-b393-4c73-90b8-bf733ed9c1e8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:43:10Z,"wix:image://v1/c3c13c_80e446bce5f94feb90d1dcbea643bd33~mv2.jpg/4%207%20-%20Bazzazzafazz.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",3,"Creature","Teklar","{""IV - Planets United"":""Common""}","After this zoned creature is killed, you can free play 1 galaxied creature with less than 30 power that comes from your planet card.",,30,190
